14.51,5.72,18.97,9.58,1
10.71,10.99,7.25,11.68,2
17.12,3.27,5.54,6.78,1
6.09,10.26,12.38,11.83,2
34.14,44.93,25.39,25.46,0
6.83,10.02,6.64,1.79,1
7.99,5.17,17.63,3.29,1
11.03,10,8.95,11.95,2
12.24,10.22,6.44,18.03,2
12.15,16.38,13.75,13.22,2
21.63,11.79,15.61,5.61,1
18.76,14.34,18.55,18.85,0
13.72,2.07,8.68,9.78,2
16.38,6.89,10.26,10.51,1
17.17,12.04,6.42,13.63,2
5.53,6.8,9.34,7.6,1
1.4,6.4,11.59,12.27,2
17.37,14.96,17.53,26.85,2
19.87,14.26,18.38,19.57,0
21.28,15.25,19.53,20.95,0
12.96,28.58,12.9,22.06,2
14.22,15.32,10.7,12.45,2
15.44,13.23,9.31,15.21,0
11,13.84,17.1,3.91,1
23.38,17.24,22.44,15.69,1
12.43,13.56,10.19,14.82,2
17.67,8.93,13.89,12.05,1
19.34,13.01,16.9,15.12,0
22.72,16.79,19.36,16.61,1
9.27,25.81,14.25,13.65,1
5.64,5.43,3.85,4.72,0
14.95,7.55,2.9,29.15,2
9.77,6.81,8.94,5.42,1
10.22,4.13,19.57,22.74,1
5.85,13.15,9.44,4.39,1
7.15,8.4,25.44,11.61,2
10.8,16.57,7.67,11.3,0
18.89,11.62,9.39,12.38,2
15.91,15.05,13.74,9.25,1
7.81,1.8,12.73,6.12,2
16.84,17.51,15.3,19.73,2
12.46,7.28,7.69,6.49,1
4.31,9.07,9.68,5.96,0
17.3,8.22,11.5,10.3,1
12.15,9.57,16.98,14.03,0
11.46,8.44,1.77,14.17,2
16.05,12.45,14.83,14.96,1
12.08,15.59,14.06,27.76,2
17.66,18.84,16.45,20.12,2
7.91,8.02,15.69,5.74,1
8.46,10.46,4.65,13.73,0
3.7,5.08,4.33,3.25,0
17.44,26.15,8.17,15.11,0
7.93,12.04,7.32,4.37,2
10.45,4.18,12.35,11.74,1
13.21,15.46,10.84,13.34,0
3.8,12.96,6.34,2.91,1
9.8,9.29,6.23,14.65,2
14.32,15.14,7.58,13.72,2
11.14,6.47,11.78,9.88,1
11.59,16.33,18.11,20.28,2
4.02,5.11,5.34,3.48,2
12.31,14.67,5.94,5.91,0
13.06,13.24,9.28,13.71,0
15.27,14.22,19.55,12.71,1
18.04,23.1,13.92,17.5,2
11.16,4.5,3.27,20.11,1
14.5,18.43,12.48,14.4,2
20.62,18.33,10.44,11.03,1
31.88,14.51,27.37,18.93,1
7.1,8.08,6.14,7.18,1
12.2,20.15,17.6,18.95,2
9.91,13.35,11.09,11.69,2
18.75,5.25,23.71,10.03,1
13.26,23.52,15.59,12.39,1
18.05,4.9,7.35,19.1,1
12.13,18.57,15.29,8.78,1
15.38,5.93,7.11,4.89,1
11.06,11.85,5.68,13.52,2
24.38,21.91,18.92,24.08,0
